Date,google_trends,gt_ma7,gt_ma30,gt_change7,gt_momentum
2026-03-02,39,33.57142857142857,39.8,0.1470588235294117,-0.7999999999999972
2026-03-03,34,33.285714285714285,39.4,-0.05555555555555558,-5.399999999999999
2026-03-04,36,33.857142857142854,39.1,0.125,-3.1000000000000014
2026-03-05,36,34.857142857142854,38.93333333333333,0.24137931034482762,-2.93333333333333
2026-03-06,31,35.142857142857146,38.53333333333333,0.06896551724137923,-7.533333333333331
2026-03-07,25,33.714285714285715,36.36666666666667,-0.2857142857142857,-11.366666666666667
2026-03-08,27,32.57142857142857,33.93333333333333,-0.22857142857142854,-6.93333333333333
2026-03-09,34,31.857142857142858,33.233333333333334,-0.1282051282051282,0.7666666666666657
2026-03-10,30,31.285714285714285,32.766666666666666,-0.11764705882352944,-2.7666666666666657
2026-03-11,27,30.0,32.2,-0.25,-5.200000000000003
2026-03-12,28,28.857142857142858,31.833333333333332,-0.2222222222222222,-3.833333333333332
2026-03-13,28,28.428571428571427,31.233333333333334,-0.09677419354838712,-3.2333333333333343
2026-03-14,22,28.0,30.6,-0.12,-8.600000000000001
2026-03-15,23,27.428571428571427,30.066666666666666,-0.14814814814814814,-7.066666666666666
2026-03-16,31,27.0,30.1,-0.08823529411764708,0.8999999999999986
2026-03-17,28,26.714285714285715,30.1,-0.06666666666666665,-2.1000000000000014
2026-03-18,28,26.857142857142858,30.0,0.03703703703703698,-2.0
2026-03-19,30,27.142857142857142,29.966666666666665,0.0714285714285714,0.03333333333333499
2026-03-20,32,27.714285714285715,30.033333333333335,0.1428571428571428,1.966666666666665
2026-03-21,24,28.0,29.866666666666667,0.09090909090909083,-5.866666666666667
2026-03-22,25,28.285714285714285,29.8,0.08695652173913038,-4.800000000000001
2026-03-23,28,27.857142857142858,29.966666666666665,-0.09677419354838712,-1.966666666666665
2026-03-24,25,27.428571428571427,30.033333333333335,-0.1071428571428571,-5.033333333333335
2026-03-25,26,27.142857142857142,29.766666666666666,-0.0714285714285714,-3.7666666666666657
2026-03-26,25,26.428571428571427,29.4,-0.16666666666666663,-4.399999999999999
2026-03-27,30,26.142857142857142,29.333333333333332,-0.0625,0.6666666666666679
2026-03-28,28,26.714285714285715,29.3,0.16666666666666674,-1.3000000000000007
2026-03-29,29,27.285714285714285,29.3,0.15999999999999992,-0.3000000000000007
2026-03-30,32,27.857142857142858,29.2,0.1428571428571428,2.8000000000000007
2026-03-31,27,28.142857142857142,28.933333333333334,0.08000000000000007,-1.9333333333333336
2026-04-01,25,28.0,28.466666666666665,-0.038461538461538436,-3.466666666666665
2026-04-02,25,28.0,28.166666666666668,0.0,-3.166666666666668
2026-04-03,23,27.0,27.733333333333334,-0.23333333333333328,-4.733333333333334
2026-04-04,20,25.857142857142858,27.2,-0.2857142857142857,-7.199999999999999
2026-04-05,22,24.857142857142858,26.9,-0.24137931034482762,-4.899999999999999
2026-04-06,21,23.285714285714285,26.766666666666666,-0.34375,-5.766666666666666
2026-04-07,22,22.571428571428573,26.6,-0.18518518518518523,-4.600000000000001
2026-04-08,23,22.285714285714285,26.233333333333334,-0.07999999999999996,-3.2333333333333343
2026-04-09,20,21.571428571428573,25.9,-0.19999999999999996,-5.899999999999999
2026-04-10,19,21.0,25.633333333333333,-0.17391304347826086,-6.633333333333333
2026-04-11,17,20.571428571428573,25.266666666666666,-0.15000000000000002,-8.266666666666666
2026-04-12,19,20.142857142857142,24.966666666666665,-0.13636363636363635,-5.966666666666665
2026-04-13,19,19.857142857142858,24.866666666666667,-0.09523809523809523,-5.866666666666667
2026-04-14,20,19.571428571428573,24.766666666666666,-0.09090909090909094,-4.766666666666666
2026-04-15,20,19.142857142857142,24.4,-0.13043478260869568,-4.399999999999999
2026-04-16,19,19.0,24.1,-0.050000000000000044,-5.100000000000001
2026-04-17,23,19.571428571428573,23.933333333333334,0.21052631578947367,-0.9333333333333336
2026-04-18,18,19.714285714285715,23.533333333333335,0.05882352941176472,-5.533333333333335
2026-04-19,16,19.285714285714285,23.0,-0.1578947368421053,-7.0
2026-04-20,17,19.0,22.766666666666666,-0.10526315789473684,-5.766666666666666
